unique_id;plant_sp;fungal_sp;replicate;treatment;block;Height t0;Height t1;Dead/Sick
405;VAN;JPK-87;3;46;6;0,6;0,7;
561;VAN;RER;3;64;6;0,4;2;
172;VAN;MEV;4;19;6;0,7;1,4;
487;VAN;JPK-132;7;55;6;0,6;3,1;
6;VAN;STR;6;1;6;0,7;1,1;
99;VAN;RHE;9;10;6;1,1;3,9;
333;VAN;OMA;9;37;6;0,8;1,5;
255;VAN;MEB;9;28;6;0,7;1,1;
638;VAN;MGK;2;73;6;0,5;1;
7;VAN;STR;7;1;6;1,3;1,1;
98;VAN;RHE;8;10;7;0,6;3,7;
567;VAN;RER;9;64;7;0,8;2,6;
3;VAN;STR;3;1;7;1;1;
490;VAN;JPK-132;10;55;7;0,6;3,7;
170;VAN;MEV;2;19;7;0,9;1,9;
646;VAN;MGK;10;73;7;0,6;3,8;
252;VAN;MEB;6;28;7;0,6;1,5;
334;VAN;OMA;10;37;7;0,7;2,5;
408;VAN;JPK-87;6;46;7;0,8;0,7;
97;VAN;RHE;7;10;7;0,6;3,7;
169;VAN;MEV;1;19;8;0,5;4,1;
93;VAN;RHE;3;10;8;0,4;1,6;
253;VAN;MEB;7;28;8;0,6;1,9;
643;VAN;MGK;7;73;8;0,3;1,1;
481;VAN;JPK-132;1;55;8;0,7;3;
326;VAN;OMA;2;37;8;0,4;1,2;
564;VAN;RER;6;64;1;;;*
2;VAN;STR;2;1;8;;;*
565;VAN;RER;7;64;8;0,6;1,5;
640;VAN;MGK;4;73;8;0,6;1,8;
248;VAN;MEB;2;28;8;0,9;3,4;
485;VAN;JPK-132;5;55;8;1;4;
562;VAN;RER;4;64;8;0,7;2,5;
10;VAN;STR;10;1;8;0,6;1,1;
171;VAN;MEV;3;19;8;0,6;2;
523;VMY;JPK-132;3;59;1;1,7;3,8;
